question,answer
Can I book Government bus ticket in  redbus?,yes you can book government bus tickets on redbus redbus has extended its bus booking services to many rtcs in india some of these rtcs are andhra pradesh state road transport corporation apsrtc assam state transport corporation astc bihar state tourism development corporation bstdc himachal road transport corporation hrtc jammu and kashmir state road transport corporation jksrtc kerala rtc kadamba transport corporation ktcl patiala and the east punjab states union pepsu puducherry road transport corporation prtc rajasthan state road transport corporation rsrtc south bengal state transport corporation sbstc uttarakhand transport corporation utc west bengal transport corporation wbtc ctc north bengal state transport corporation nbstc chandigarh transport undertaking ctu
Tell me the steps to book a bus ticket in redbus?,bus ticket booking is effortless on redbus to book the bus tickets go to the main page and enter your source city and destination city in the from and to fields respectively enter the travel date and hit the search button now you will see the bus list available on the given bus route you can use the filter option such as duration fare bus type etc to rearrange the list accordingly this makes it easier for customers to book their bus tickets online with redbus
Can i change the journey date after booking a ticket?,yes you can change the journey date after booking a bus ticket on redbus by clicking the reschedule icon if your travel plan might get interrupted while booking bus operators with the reschedule icon next to it offer rescheduling of the bus ticket in case your initially selected date is not viable to travel on
Can i show my mobile ticket while boarding?,it depends on the bus operator you have booked your online bus tickets with even mtickets are available on redbus for operators that support mtickets the sms that is sent to your mobile can be produced at the time of boarding and you will be allowed to travelfor operators that do not support mtickets it is a must to take a printout of the eticket and produce it at the time of boarding the eticket is sent to the email id provided at the time of boardingto know which operators are mticket enabled look for the mticket icon under the mticket column while searching for buses
Where can i find my bus ticket after booking?,a copy of the bus ticket would have been sent to you by email when you booked bus ticket online please take a printout of that mail and produce it at the time of boarding if you have not received the ticket email please call any of our call centers and our executive will resend you a copy by mail
What is mticket?,an mticket is an sms that is sent to your mobile on booking bus tickets with select private bus operators this sms has the tin number and the pnr number along with other ticket related information it can be used to board the bus please note that not all operators accept mtickets to know which operators are mticket enabled look for the mticket icon under the mticket column while searching for buses
How can i generate mticket?,you can generate your mticket online to generate mticket online click on the printsms ticket link on the redbus home page on wwwredbusin enter your tin number mentioned on the eticket we emailed you choose the sms option and click on submit in case you dont have a copy of the eticket either contact our call center and our executive will assist you
can i get my mticket on different number?,yes you can get the mticket on the different numbersto get the mticket on the different number please contact redbus call center and our customer executive will send you the mticket on your desired number
is my personal information safe in redbus?,transactions on redbus are very safe we employ the bestinclass security and the transactions done are secure apart from being certified by verisign redbus uses secure socket layers ssl data encryption using ssl ensures that the information exchanged with us is never transmitted unencrypted thus protecting the information from being viewed by unauthorized individuals
Should i pay for tickets only using my credit/debit cards?,not at all a passenger can use any debit or credit card to pay for the bus ticket not necessarily their own however please note that the passenger in whose name the ticket is booked should carry a proof of his identity along with the ticket at the time of boarding the bus
Where can i find the payment transaction in redbus?,transactions on redbus will appear as redbusin wwwredbusin in your bank statement
Can i cancel my ticket after booking?,yes you can cancel bus tickets online most of the tickets can be canceled online however there are some bus tickets that can only be canceled through our call centerhowever please note that the cancellation fee and cancellation period may differ for specific bus services please contact any of our executives for cancellation details on any specific service
How to cancel a ticket?,"to cancel the bus ticket online you need to click on the cancellation link provided on our home page enter your ticket number and the email id that was provided at the time of bus booking and click on cancel ticket
30"
I missed the bus. Do I get a refund?,redbus provides a 100 percent refund if the bus is missed due to either redbus or its partner companys fault however if the bus is missed due to any other reason not directly related to redbus no refund is provided
How can I get a refund in case I cancel my ticket?,the refund is provided as per cancellation policy of the operator the refund can be credited to the source of payment example debit card credit card net banking or credited to redbus wallet wallet credit can be used for bus booking in future within 6 months of cancellation
What should i do if my bus doesn't leave on time?,if your bus does not leave on time or is canceled in such situations you will need to consult the counter of the respective bus operators you can also call the redbus customer care to discuss the appropriate actions
where can i find the details on insurance policy?,for details on insurance of your journey after bus ticket booking please refer to the insurance terms
Should every customer register in redbus?,no redbus does not require its customers to go through a registration process
is ticket price same for everytime?,not at all the price of the bus ticket is the same as you would get from the bus operator too the price of hotel voucher is the same or sometimes discounted depending on the seasontime
Will every bus operators accepts mticket?,it depends on the bus operator you have booked your ticket with even mtickets are available on redbus for operators that support mtickets the sms that is sent to your mobile can be produced at the time of boarding and you will be allowed to travel
What should I do if operators doesn't accept mtickets?,for operators that do not support mtickets it is a must to take a printout of the eticket and produce it at the time of boarding the eticket is sent to the email id provided at the time of boarding
"how can i know, whether bus operator is accepting mticket or not?",To know which operators are mticket enabled look for the mticket icon under the mticket column while searching for buses
"what should i do, if i don't receive a ticket to my mail?",A copy of the ticket would have been sent to you by email when you booked it please take a printout of that mail and produce it at the time of boarding if you have not received the ticket email please call any of our call centers and our executive will resend you a copy by mail
I entered the wrong mobile number while booking. Can I get my mTicket on a different number?,Sure you can please contact our call center and our executive will send you the mticket on your desired number
Can I cancel my ticket online?,Most of the tickets can be cancelled online however there are some tickets that can only be cancelled through our call center. however please note that the cancellation fee and cancellation period may differ for specific bus services please contact any of our executives for cancellation details on any specific service
what is the use of bus timetable?,Bus timetables play a significant role in every travelers journey the redbus platform readily presents these crucial details providing you with the exact departure and arrival times of each bus these bus schedules are a key factor that travelers consider when booking their bus tickets the knowledge of the departure time from a specific stop and the arrival time at the destination greatly influences the bus booking process
Any latest updates on redbus platform?,Redbus has recently introduced an intuitive bus timetable app this userfriendly platform allows users to view different bus operators and their bus timings bus numbers bus frequency bus stops via routes and the first and last bus times across more than 10000 routes in karnataka andhra pradesh madhya pradesh rajasthan and assam explore the bus schedules of various bus operators plying on some of indias most frequented routes experience a seamless bus booking process with redbus making your travel plans more efficient and stressfree
"What information, can i find in bus time table?",From city to city and state to state the redBus bus time table provides you with timely updates on bus departures and arrivals It gives you a clear picture of the bus timing so that you can schedule your day accordingly Plus the platforms flexibility allows you to adjust your plans with realtime updates if necessary
Where can i find the bus time table?,Simply log in to the redBus bus timetable platform enter your desired routes and let the platform take care of the rest Youll be provided with a detailed bus schedule including all the bus timings youll need Start your journey with certainty and end it with satisfaction by choosing the bus time table by redBus
