question,answer
Can I book Government bus ticket in  redbus?,"Yes, you can book government bus tickets on redBus. redBus has extended its bus booking services to many RTCs in India. Some of these RTCs are Andhra Pradesh State Road Transport Corporation (APSRTC), Assam State Transport Corporation (ASTC), Bihar State Tourism Development Corporation (BSTDC), Himachal Road Transport Corporation (HRTC), Jammu and Kashmir State Road Transport Corporation (JKSRTC), Kerala RTC, Kadamba Transport Corporation (KTCL), Patiala and the East Punjab States Union (PEPSU), Puducherry Road Transport Corporation (PRTC), Rajasthan State Road Transport Corporation (RSRTC), South Bengal State Transport Corporation (SBSTC), Uttarakhand Transport Corporation (UTC), West Bengal Transport Corporation WBTC (CTC), North Bengal State Transport Corporation (NBSTC) Chandigarh Transport Undertaking (CTU)"
Tell me the steps to book a bus ticket in redbus?,"Bus ticket Booking is effortless on redBus. To book the bus tickets, go to the main page and enter your source city and destination city in the 'From' and 'To'ù fields, respectively. Enter the travel date and hit the search button. Now, you will see the bus list available on the given bus route. You can use the filter option, such as duration, fare, bus type, etc., to rearrange the list accordingly. This makes it easier for customers to book their bus tickets online with redBus."
Can i change the journey date after booking a ticket?,Yes. You can change the journey date after booking a bus ticket on redBus by clicking the 'Reschedule'ù icon if your travel plan might get interrupted while booking. Bus operators with the 'Reschedule icon' next to it offer rescheduling of the bus ticket in case your initially selected date is not viable to travel on.
Can i show my mobile ticket while boarding?,"It depends on the bus operator you have booked your online bus tickets with. Even mTickets are available on redBus. For operators that support mTickets, the SMS that is sent to your mobile can be produced at the time of boarding and you will be allowed to travel.For operators that do not support mTickets it is a must to take a printout of the e-ticket and produce it at the time of boarding. The e-ticket is sent to the e-mail ID provided at the time of boarding.To know which operators are mTicket enabled, look for the mTicket icon under the mTicket column while searching for buses."
Where can i find my bus ticket after booking?,"A copy of the bus ticket would have been sent to you by email when you booked bus ticket online. Please take a printout of that mail and produce it at the time of boarding. If you have not received the ticket e-mail, please call any of our call centers and our executive will resend you a copy by mail."
What is mticket?,"An mTicket is an SMS that is sent to your mobile on booking bus tickets with select private bus operators. This SMS has the TIN number and the PNR number along with other ticket related information. It can be used to board the bus. Please note that not all operators accept mTickets. To know which operators are mTicket enabled, look for the mTicket icon  under the mTicket column while searching for buses."
How can i generate mticket?,"You can generate your mTicket online. To generate m-Ticket online click on the Print/SMS ticket link on the redbus home page on www.redBus.in. Enter your TIN number mentioned on the e-ticket we emailed you. Choose the SMS option and click on Submit. In case you don't have a copy of the e-ticket either, contact our call center and our executive will assist you."
can i get my mticket on different number?,"Yes, you can get the m-Ticket on the different numbers.To get the M-Ticket on the different number  please contact redBus call center and our customer executive will send you the mTicket on your desired number."
is my personal information safe in redbus?,"Transactions on redBus are very safe. We employ the best-in-class security and the transactions done are secure. Apart from being certified by Verisign, redBus uses Secure Socket Layers (SSL) data encryption. Using SSL ensures that the information exchanged with us is never transmitted unencrypted, thus protecting the information from being viewed by unauthorized individuals."
Should i pay for tickets only using my credit/debit cards?,"Not at all! A passenger can use any debit or credit card to pay for the bus ticket, not necessarily their own. However, please note that the passenger in whose name the ticket is booked should carry a proof of his identity (along with the ticket) at the time of boarding the bus."
Where can i find the payment transaction in redbus?,"Transactions on redBus will appear as REDBUS.IN, www.redbus.in in your bank statement."
Can i cancel my ticket after booking?,"Yes you can cancel bus tickets online, Most of the tickets can be canceled online. However, there are some bus tickets that can only be canceled through our call center.However please note that the cancellation fee and cancellation period may differ for specific bus services. Please contact any of our executives for cancellation details on any specific service."
How to cancel a ticket?,"To cancel the bus ticket online, you need to click on the cancellation link provided on our home page. Enter your ticket number and the e-mail ID that was provided at the time of bus booking and click on cancel ticket."
I missed the bus. Do I get a refund?,"redBus provides a 100% refund if the bus is missed due to either redBus or its partner company's fault. However, if the bus is missed due to any other reason not directly related to redBus no refund is provided."
How can I get a refund in case I cancel my ticket?,"The refund is provided as per cancellation policy of the operator. The refund can be credited to the source of payment (Example: debit card, credit card, net banking) or credited to redBus wallet. Wallet credit can be used for bus booking in future (within 6 months of cancellation)."
What should i do if my bus doesn't leave on time?,"If your bus does not leave on time or is canceled, in such situations, you will need to consult the counter of the respective bus operators. You can also call the redBus customer care to discuss the appropriate actions."
where can i find the details on insurance policy?,"For details on Insurance of your journey after bus ticket booking, please refer to the Insurance Terms"
Should every customer register in redbus?,"No, redBus does not require its customers to go through a registration process"
will my ticket price reduce if i directly get ticket from bus operators?,Not at all! The price of the bus ticket is the same as you would get from the bus operator too.The price of hotel voucher is the same or sometimes discounted depending on the season/time.
Will every bus operators accepts mticket?,"It depends on the bus operator you have booked your ticket with. Even mTickets are available on redBus. For operators that support mTickets, the SMS that is sent to your mobile can be produced at the time of boarding and you will be allowed to travel."
What should I do if operators doesn't accept mtickets?,For operators that do not support mTickets it is a must to take a printout of the e-ticket and produce it at the time of boarding. The e-ticket is sent to the e-mail ID provided at the time of boarding.
"how can i know, whether bus operator is accepting mticket or not?","To know which operators are mTicket enabled, look for the mTicket icon  under the mTicket column while searching for buses."
"what should i do, if i don't receive a ticket to my mail?","A copy of the ticket would have been sent to you by e-mail when you booked it. Please take a printout of that mail and produce it at the time of boarding. If you have not received the ticket e-mail, please call any of our call centers and our executive will re-send you a copy by mail."
I entered the wrong mobile number while booking. Can I get my mTicket on a different number?,Sure you can. Please contact our call center and our executive will send you the mTicket on your desired number.
Can I cancel my ticket online?,"Most of the tickets can be cancelled online. However, there are some tickets that can only be cancelled through our call center. However please note that the cancellation fee and cancellation period may differ for specific bus services. Please contact any of our executives for cancellation details on any specific service."
what is the use of bus timetable?,"Bus timetables play a significant role in every traveler's journey. The redBus platform readily presents these crucial details, providing you with the exact departure and arrival times of each bus. These bus schedules are a key factor that travelers consider when booking their bus tickets. The knowledge of the departure time from a specific stop and the arrival time at the destination greatly influences the bus booking process."
Any latest updates on redbus platform?,"redBus has recently introduced an intuitive bus timetable app. This user-friendly platform allows users to view different bus operators and their bus timings, bus numbers, bus frequency, bus stops, Via routes,  and the first and last bus times across more than 10,000 routes in Karnataka, Andhra Pradesh, Madhya Pradesh, Rajasthan, and Assam. Explore the bus schedules of various bus operators plying on some of India's most frequented routes. Experience a seamless bus booking process with redBus, making your travel plans more efficient and stress-free."
"What information, can i find in bus time table?","From city to city, and state to state, the redBus bus time table provides you with timely updates on bus departures and arrivals. It gives you a clear picture of the bus timing so that you can schedule your day accordingly. Plus, the platform's flexibility allows you to adjust your plans with real-time updates, if necessary."
Where can i find the bus time table?,"Simply log in to the redBus bus timetable platform, enter your desired routes and let the platform take care of the rest. You'll be provided with a detailed bus schedule, including all the bus timings you'll need. Start your journey with certainty and end it with satisfaction by choosing the bus time table by redBus."
